분류,용어,의미,프로젝트에서의 역할
성능 평가,Best Val Acc,가장 높았던 Validation Accuracy,모델 성능 비교 지표
성능 평가,Confusion Matrix,실제 라벨과 예측 라벨을 비교하는 표,어떤 나이대를 헷갈리는지 확인
성능 평가,True Label,실제 정답 라벨,Confusion Matrix의 실제 클래스
성능 평가,Predicted Label,모델이 예측한 라벨,Confusion Matrix의 예측 클래스
성능 평가,Overfitting,학습 데이터에는 잘 맞지만 검증 데이터 성능이 떨어지는 현상,EfficientNet-B0 후반부에서 Val Loss 증가로 확인
성능 평가,EarlyStopping,검증 성능 개선이 없으면 학습을 자동 중단하는 방법,Val Loss가 5번 연속 개선되지 않으면 중단
그래프,History CSV,epoch별 학습 결과를 저장한 CSV,학습 그래프 생성에 사용
그래프,Line Graph,값의 변화를 선으로 보여주는 그래프,"epoch별 Loss, Accuracy 변화 시각화"
그래프,Bar Graph,값을 막대로 비교하는 그래프,"모델별 Best Val Acc, Best Val Loss, 학습 시간 비교"
그래프,Validation Accuracy 그래프,검증 정확도의 변화를 보여주는 그래프,모델 성능 변화 확인
그래프,Validation Loss 그래프,검증 손실의 변화를 보여주는 그래프,과적합 여부 확인
그래프,Train vs Validation 그래프,학습 성능과 검증 성능을 함께 비교하는 그래프,일반화 성능과 과적합 확인
환경/오류,CUDA,NVIDIA GPU를 이용해 딥러닝 연산을 빠르게 처리하는 기술,RTX 4060 GPU 학습에 사용
환경/오류,GPU,딥러닝 행렬 연산을 빠르게 처리하는 장치,모델 학습 가속
환경/오류,CPU,일반 연산과 데이터 로딩을 담당하는 장치,이미지 파일 로딩과 전처리 일부 담당
환경/오류,OutOfMemoryError,GPU 메모리가 부족할 때 발생하는 오류,batch size 160에서 발생해 64로 줄임
환경/오류,DecompressionBombWarning,PIL이 매우 큰 이미지를 열 때 띄우는 경고,일부 대형 AI Hub 이미지에서 발생
환경/오류,requirements.txt,실행에 필요한 Python 패키지 목록 파일,Streamlit 웹앱 실행 및 배포 준비
웹앱,Streamlit,Python으로 웹앱을 만드는 도구,나이대 분석 웹앱 제작
웹앱,app.py,Streamlit 웹앱 실행 파일,"웹캠 촬영, 모델 로드, 예측 결과 출력"
웹앱,st.camera_input,Streamlit의 웹캠 촬영 기능,웹캠으로 얼굴 이미지 촬영
웹앱,Inference,학습된 모델로 새로운 데이터를 예측하는 과정,촬영 이미지를 나이대로 분류
웹앱,Softmax,모델 출력값을 클래스별 확률로 변환하는 함수,5개 나이대별 예측 확률 계산
웹앱,Confidence,모델이 최종 예측에 대해 얼마나 확신하는지 나타내는 값,웹앱에서 예측 신뢰도로 표시
